,Region/Country/Area,Year,Data,Enrollments (Thousands)
253,Eastern Asia,2015,Gross enrollement ratio - Primary (male),98.8
254,Eastern Asia,2015,Gross enrollment ratio - Primary (female),99.0
255,Eastern Asia,2015,Students enrolled in secondary education (thousands),"99,599"
256,Eastern Asia,2015,Gross enrollment ratio - Secondary (male),91.0
257,Eastern Asia,2015,Gross enrollment ratio - Secondary (female),93.1
258,Eastern Asia,2015,Students enrolled in tertiary education (thousands),"51,555"
259,Eastern Asia,2015,Gross enrollment ratio - Tertiary (male),45.0
260,Eastern Asia,2015,Gross enrollment ratio - Tertiary (female),50.8
261,Eastern Asia,2016,Students enrolled in primary education (thousands),"109,530"
262,Eastern Asia,2016,Gross enrollement ratio - Primary (male),100.0
263,Eastern Asia,2016,Gross enrollment ratio - Primary (female),100.5
264,Eastern Asia,2016,Students enrolled in secondary education (thousands),"97,350"
265,Eastern Asia,2016,Gross enrollment ratio - Secondary (male),89.8
266,Eastern Asia,2016,Gross enrollment ratio - Secondary (female),91.5
267,Eastern Asia,2016,Students enrolled in tertiary education (thousands),"52,060"
268,Eastern Asia,2016,Gross enrollment ratio - Tertiary (male),47.4
269,Eastern Asia,2016,Gross enrollment ratio - Tertiary (female),54.2
270,South-eastern Asia,2005,Students enrolled in primary education (thousands),"68,305"
271,South-eastern Asia,2005,Gross enrollement ratio - Primary (male),106.9
272,South-eastern Asia,2005,Gross enrollment ratio - Primary (female),103.9
273,South-eastern Asia,2005,Students enrolled in secondary education (thousands),"40,675"
274,South-eastern Asia,2005,Gross enrollment ratio - Secondary (male),62.4
275,South-eastern Asia,2005,Gross enrollment ratio - Secondary (female),62.1
276,South-eastern Asia,2005,Students enrolled in tertiary education (thousands),"11,062"
277,South-eastern Asia,2005,Gross enrollment ratio - Tertiary (male),20.7
278,South-eastern Asia,2005,Gross enrollment ratio - Tertiary (female),20.4
279,South-eastern Asia,2010,Students enrolled in primary education (thousands),"68,448"
280,South-eastern Asia,2010,Gross enrollement ratio - Primary (male),107.2
281,South-eastern Asia,2010,Gross enrollment ratio - Primary (female),107.8
282,South-eastern Asia,2010,Students enrolled in secondary education (thousands),"45,687"
283,South-eastern Asia,2010,Gross enrollment ratio - Secondary (male),70.0
284,South-eastern Asia,2010,Gross enrollment ratio - Secondary (female),71.0
285,South-eastern Asia,2010,Students enrolled in tertiary education (thousands),"14,283"
286,South-eastern Asia,2010,Gross enrollment ratio - Tertiary (male),25.3
287,South-eastern Asia,2010,Gross enrollment ratio - Tertiary (female),26.9
288,South-eastern Asia,2014,Students enrolled in primary education (thousands),"68,898"
289,South-eastern Asia,2014,Gross enrollement ratio - Primary (male),108.1
290,South-eastern Asia,2014,Gross enrollment ratio - Primary (female),106.0
291,South-eastern Asia,2014,Students enrolled in secondary education (thousands),"50,158"
292,South-eastern Asia,2014,Gross enrollment ratio - Secondary (male),78.7
293,South-eastern Asia,2014,Gross enrollment ratio - Secondary (female),79.5
294,South-eastern Asia,2014,Students enrolled in tertiary education (thousands),"17,381"
295,South-eastern Asia,2014,Gross enrollment ratio - Tertiary (male),28.3
296,South-eastern Asia,2014,Gross enrollment ratio - Tertiary (female),33.7
297,South-eastern Asia,2015,Students enrolled in primary education (thousands),"68,715"
298,South-eastern Asia,2015,Gross enrollement ratio - Primary (male),108.1
299,South-eastern Asia,2015,Gross enrollment ratio - Primary (female),105.1
300,South-eastern Asia,2015,Students enrolled in secondary education (thousands),"51,344"
301,South-eastern Asia,2015,Gross enrollment ratio - Secondary (male),81.0
302,South-eastern Asia,2015,Gross enrollment ratio - Secondary (female),81.4
303,South-eastern Asia,2015,Students enrolled in tertiary education (thousands),"15,800"
304,South-eastern Asia,2015,Gross enrollment ratio - Tertiary (male),25.7
305,South-eastern Asia,2015,Gross enrollment ratio - Tertiary (female),30.8
306,South-eastern Asia,2016,Students enrolled in primary education (thousands),"68,681"
307,South-eastern Asia,2016,Gross enrollement ratio - Primary (male),108.2
308,South-eastern Asia,2016,Gross enrollment ratio - Primary (female),104.8
309,South-eastern Asia,2016,Students enrolled in secondary education (thousands),"51,207"
310,South-eastern Asia,2016,Gross enrollment ratio - Secondary (male),80.3
311,South-eastern Asia,2016,Gross enrollment ratio - Secondary (female),81.7
312,South-eastern Asia,2016,Students enrolled in tertiary education (thousands),"16,738"
313,South-eastern Asia,2016,Gross enrollment ratio - Tertiary (male),27.1
314,South-eastern Asia,2016,Gross enrollment ratio - Tertiary (female),33.0
315,Southern Asia,2005,Students enrolled in primary education (thousands),"181,476"
316,Southern Asia,2005,Gross enrollement ratio - Primary (male),106.1
317,Southern Asia,2005,Gross enrollment ratio - Primary (female),100.6
318,Southern Asia,2005,Students enrolled in secondary education (thousands),"120,645"
319,Southern Asia,2005,Gross enrollment ratio - Secondary (male),55.3
320,Southern Asia,2005,Gross enrollment ratio - Secondary (female),46.8
321,Southern Asia,2005,Students enrolled in tertiary education (thousands),"16,055"
322,Southern Asia,2005,Gross enrollment ratio - Tertiary (male),11.7
323,Southern Asia,2005,Gross enrollment ratio - Tertiary (female),8.7
324,Southern Asia,2010,Students enrolled in primary education (thousands),"191,840"
325,Southern Asia,2010,Gross enrollement ratio - Primary (male),107.5
326,Southern Asia,2010,Gross enrollment ratio - Primary (female),107.0
327,Southern Asia,2010,Students enrolled in secondary education (thousands),"143,371"
328,Southern Asia,2010,Gross enrollment ratio - Secondary (male),61.9
329,Southern Asia,2010,Gross enrollment ratio - Secondary (female),57.4
330,Southern Asia,2010,Students enrolled in tertiary education (thousands),"28,470"
331,Southern Asia,2010,Gross enrollment ratio - Tertiary (male),19.5
332,Southern Asia,2010,Gross enrollment ratio - Tertiary (female),14.9
333,Southern Asia,2014,Students enrolled in primary education (thousands),"196,559"
334,Southern Asia,2014,Gross enrollement ratio - Primary (male),104.7
335,Southern Asia,2014,Gross enrollment ratio - Primary (female),111.0
336,Southern Asia,2014,Students enrolled in secondary education (thousands),"168,938"
337,Southern Asia,2014,Gross enrollment ratio - Secondary (male),69.6
338,Southern Asia,2014,Gross enrollment ratio - Secondary (female),69.2
339,Southern Asia,2014,Students enrolled in tertiary education (thousands),"40,029"
340,Southern Asia,2014,Gross enrollment ratio - Tertiary (male),24.4
341,Southern Asia,2014,Gross enrollment ratio - Tertiary (female),23.3
342,Southern Asia,2015,Students enrolled in primary education (thousands),"197,691"
343,Southern Asia,2015,Gross enrollement ratio - Primary (male),104.7
344,Southern Asia,2015,Gross enrollment ratio - Primary (female),111.5
345,Southern Asia,2015,Students enrolled in secondary education (thousands),"170,483"
346,Southern Asia,2015,Gross enrollment ratio - Secondary (male),70.0
347,Southern Asia,2015,Gross enrollment ratio - Secondary (female),69.6
348,Southern Asia,2015,Students enrolled in tertiary education (thousands),"42,209"
349,Southern Asia,2015,Gross enrollment ratio - Tertiary (male),25.7
350,Southern Asia,2015,Gross enrollment ratio - Tertiary (female),24.4
351,Southern Asia,2016,Students enrolled in primary education (thousands),"206,470"
352,Southern Asia,2016,Gross enrollement ratio - Primary (male),107.8
353,Southern Asia,2016,Gross enrollment ratio - Primary (female),117.8
354,Southern Asia,2016,Students enrolled in secondary education (thousands),"175,001"
355,Southern Asia,2016,Gross enrollment ratio - Secondary (male),71.5
356,Southern Asia,2016,Gross enrollment ratio - Secondary (female),71.4
357,Southern Asia,2016,Students enrolled in tertiary education (thousands),"42,239"
358,Southern Asia,2016,Gross enrollment ratio - Tertiary (male),25.5
359,Southern Asia,2016,Gross enrollment ratio - Tertiary (female),24.4
360,Western Asia,2005,Students enrolled in primary education (thousands),"24,169"
361,Western Asia,2005,Gross enrollement ratio - Primary (male),105.1
362,Western Asia,2005,Gross enrollment ratio - Primary (female),95.7
363,Western Asia,2005,Students enrolled in secondary education (thousands),"19,612"
364,Western Asia,2005,Gross enrollment ratio - Secondary (male),79.0
365,Western Asia,2005,Gross enrollment ratio - Secondary (female),68.2
366,Western Asia,2005,Students enrolled in tertiary education (thousands),"5,184"
367,Western Asia,2005,Gross enrollment ratio - Tertiary (male),27.9
368,Western Asia,2005,Gross enrollment ratio - Tertiary (female),25.1
369,Western Asia,2010,Students enrolled in primary education (thousands),"25,425"
370,Western Asia,2010,Gross enrollement ratio - Primary (male),105.7
371,Western Asia,2010,Gross enrollment ratio - Primary (female),98.3
372,Western Asia,2010,Students enrolled in secondary education (thousands),"22,269"
373,Western Asia,2010,Gross enrollment ratio - Secondary (male),79.3
374,Western Asia,2010,Gross enrollment ratio - Secondary (female),71.7
375,Western Asia,2010,Students enrolled in tertiary education (thousands),"7,514"
376,Western Asia,2010,Gross enrollment ratio - Tertiary (male),36.1
377,Western Asia,2010,Gross enrollment ratio - Tertiary (female),33.7
378,Western Asia,2014,Students enrolled in primary education (thousands),"26,143"
379,Western Asia,2014,Gross enrollement ratio - Primary (male),104.6
380,Western Asia,2014,Gross enrollment ratio - Primary (female),97.6
381,Western Asia,2014,Students enrolled in secondary education (thousands),"25,007"
382,Western Asia,2014,Gross enrollment ratio - Secondary (male),85.1
383,Western Asia,2014,Gross enrollment ratio - Secondary (female),78.0
384,Western Asia,2014,Students enrolled in tertiary education (thousands),"10,570"
385,Western Asia,2014,Gross enrollment ratio - Tertiary (male),48.8
386,Western Asia,2014,Gross enrollment ratio - Tertiary (female),47.0
387,Western Asia,2015,Students enrolled in primary education (thousands),"26,701"
388,Western Asia,2015,Gross enrollement ratio - Primary (male),104.6
389,Western Asia,2015,Gross enrollment ratio - Primary (female),98.3
390,Western Asia,2015,Students enrolled in secondary education (thousands),"25,206"
